model,native_seed,native_lo,native_hi,native_pooled,native_n,native_rej,native_n_seeds,native_hint_seed,native_hint_lo,native_hint_hi,native_hint_pooled,native_hint_n,native_hint_rej,native_hint_n_seeds,text_tools_seed,text_tools_lo,text_tools_hi,text_tools_pooled,text_tools_n,text_tools_rej,text_tools_n_seeds
qwen2.5-coder:0.5b,0.0,0.0,0.0,0.0,9,0,8,0.346,0.067,0.659,0.287,317,2,8,0.344,0.094,0.594,0.852,54,1,8
qwen2.5-coder:1.5b,0.375,0.125,0.75,0.237,519,3,8,0.583,0.312,0.833,0.906,53,1,8,0.742,0.492,0.975,0.955,110,1,8
qwen2.5-coder:3b,0.228,0.0,0.549,0.786,42,0,8,0.823,0.575,0.979,0.96,176,3,8,0.837,0.702,0.958,0.896,77,1,8
qwen2.5-coder:7b,0.589,0.319,0.837,0.793,174,2,8,0.885,0.781,0.969,0.8,35,0,8,0.912,0.825,0.979,0.889,36,0,8
qwen2.5-coder:14b,0.595,0.383,0.772,0.737,57,0,8,0.796,0.625,0.944,0.708,89,0,8,0.915,0.856,0.979,0.882,34,0,8
llama3.2:latest,0.6,0.375,0.8,0.625,16,0,8,0.823,0.709,0.921,0.892,65,0,8,0.438,0.312,0.5,0.467,15,0,8
phi3:latest,,,,0.0,0,8,0,,,,,,,,0.375,0.125,0.75,0.3,10,0,8
gemma3:4b,,,,0.0,0,8,0,,,,,,,,1.0,1.0,1.0,1.0,8,8,8
gemma3:270m,,,,0.0,0,8,0,,,,,,,,0.375,0.125,0.75,0.375,8,4,8
deepseek-v4-flash,1.0,1.0,1.0,1.0,61,0,8,,,,,,,,1.0,1.0,1.0,1.0,57,0,8
